City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta do sol,32.6667,-17.1,16.51,75,4,0.98,PT,1680843029
1,port elizabeth,-33.918,25.5701,19.62,82,0,7.72,ZA,1680843030
2,albany,42.6001,-73.9662,9.4,53,87,0.89,US,1680842964
3,soledad,10.9184,-74.7646,26.07,78,0,7.72,CO,1680843031
4,solnechnyy,50.7214,136.6319,0.21,90,100,3.6,RU,1680843031
5,trairi,-3.2778,-39.2689,22.79,96,97,2.24,BR,1680843016
6,chokurdakh,70.6333,147.9167,-17.65,90,99,1.47,RU,1680843033
7,puerto ayora,-0.7393,-90.3518,26.42,94,100,3.16,EC,1680843033
8,mwene-ditu,-7.0,23.45,17.42,96,91,1.88,CD,1680843034
9,bosaso,11.2842,49.1816,26.99,94,0,2.57,SO,1680843035
10,pathein,16.7833,94.7333,38.42,30,12,2.14,MM,1680843035
11,ushuaia,-54.8,-68.3,6.81,57,0,6.17,AR,1680842947
12,ancud,-41.8697,-73.8203,9.32,78,96,0.99,CL,1680842780
13,busselton,-33.65,115.3333,22.07,45,89,6.29,AU,1680843038
14,zhangye,38.9342,100.4517,11.94,11,38,2.41,CN,1680843039
15,raga,8.4596,25.678,25.48,33,92,1.36,SS,1680843040
16,penugonda,16.6667,81.7333,34.24,45,8,2.61,IN,1680843040
17,carnarvon,-24.8667,113.6333,24.41,56,29,9.34,AU,1680843041
18,tuktoyaktuk,69.4541,-133.0374,-16.0,85,75,2.06,CA,1680843042
19,east london,-33.0153,27.9116,19.52,82,0,2.57,ZA,1680843042
20,gua musang,4.8823,101.9644,33.5,52,96,0.64,MY,1680843043
21,cumberland,35.0502,-78.8664,23.28,82,75,2.57,US,1680843043
22,saint george,37.1041,-113.5841,13.33,27,0,2.57,US,1680842807
23,rikitea,-23.1203,-134.9692,24.92,65,87,5.26,PF,1680843045
24,guerrero negro,27.9769,-114.0611,14.71,69,2,6.01,MX,1680843045
25,kahului,20.8947,-156.47,23.8,79,40,6.69,US,1680843046
26,vinstra,61.5952,9.7523,-4.93,93,98,0.92,NO,1680843046
27,atuona,-9.8,-139.0333,27.46,73,1,9.39,PF,1680843047
28,mataura,-46.1927,168.8643,14.71,60,25,0.9,NZ,1680843048
29,muroto,33.2833,134.15,18.56,88,100,10.04,JP,1680843048
30,bethel,41.3712,-73.414,15.2,44,100,3.6,US,1680843049
31,bengkulu,-3.8004,102.2655,28.74,66,53,2.86,ID,1680843050
32,ostrovnoy,68.0531,39.5131,1.69,93,100,9.19,RU,1680843050
33,hobart,-42.8794,147.3294,16.92,89,100,1.03,AU,1680842769
34,bredasdorp,-34.5322,20.0403,16.65,82,41,4.78,ZA,1680843052
35,arman,59.7,150.1667,-3.32,91,100,2.2,RU,1680843053
36,bluff,-46.6,168.3333,14.89,64,59,4.03,NZ,1680843053
37,shambu,9.5667,37.1,16.87,37,99,0.35,ET,1680843054
38,yellowknife,62.456,-114.3525,2.29,64,40,5.14,CA,1680843053
39,isangel,-19.55,169.2667,27.52,65,6,3.59,VU,1680843055
40,salamiyah,35.0113,37.0532,14.03,59,21,6.62,SY,1680843056
41,hambantota,6.1241,81.1185,31.19,70,20,2.57,LK,1680843056
42,kantemirovka,49.7089,39.8592,10.93,67,100,4.21,RU,1680843057
43,tiksi,71.6872,128.8694,-15.47,85,86,3.22,RU,1680843057
44,qaanaaq,77.484,-69.3632,-28.12,63,0,3.06,GL,1680843058
45,ribeira grande,38.5167,-28.7,12.1,82,100,0.89,PT,1680843058
46,asau,46.4333,26.4,-0.4,87,100,0.74,RO,1680843059
47,new norfolk,-42.7826,147.0587,16.72,79,100,0.26,AU,1680843060
48,buarcos,40.166,-8.8768,9.19,63,13,2.44,PT,1680843060
49,tilichiki,60.4667,166.1,-6.09,79,87,5.46,RU,1680843061
50,avarua,-21.2078,-159.775,27.03,83,40,3.6,CK,1680843062
51,jamestown,42.097,-79.2353,7.77,61,0,3.13,US,1680843062
52,hithadhoo,-0.6,73.0833,27.63,68,35,0.53,MV,1680843063
53,tuatapere,-46.1333,167.6833,11.81,63,10,1.73,NZ,1680843013
54,agde,43.3108,3.4758,9.38,75,0,1.03,FR,1680843064
55,almaznyy,48.0448,40.045,10.75,74,100,3.2,RU,1680843064
